industry,organization_size,cloud_environment,endpoint_protection_type,region,data_sensitivity_level,employee_count,annual_revenue_inr,exposed_assets,internet_facing_assets,critical_vulnerabilities,high_vulnerabilities,average_patch_delay_days,mfa_coverage_percent,edr_coverage_percent,backup_success_rate_percent,immutable_backup_enabled,network_segmentation_score,phishing_failure_rate_percent,security_awareness_training_score,mean_time_to_detect_hours,mean_time_to_respond_hours,previous_security_incidents,third_party_vendor_risk_score,cloud_security_posture_score,privileged_accounts_count,encryption_coverage_percent,security_budget_inr,ransomware_incident,phishing_incident,data_breach_incident,ddos_incident,ransomware_impact_inr,phishing_impact_inr,data_breach_impact_inr,ddos_impact_inr
Banking & Financial Services,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,European Union (GDPR),High (PII + Financial KYC),8032,25378221425.31,1317,166,4,10,24.9,57.3,52.5,62.0,0,0.81,14.5,0.64,6.1,42.9,0,0.4,0.77,187,95.9,906693114.92,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),AWS Multi-Account,SentinelOne,India (BFSI Regulated),High (PII + Financial KYC),2093,7217300001.71,634,89,3,14,29.0,41.7,89.3,68.5,1,0.67,3.4,0.52,6.9,63.5,2,0.48,0.54,239,59.6,203025950.01,0,1,0,0,0.0,51828110.14,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Low (Public Data),8053,19441703000.99,1382,312,4,8,3.1,80.3,76.4,95.6,0,0.77,8.1,0.44,7.8,29.8,0,0.26,0.69,44,68.9,737239907.0,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,None,North America,Critical (Cardholder / UPI Core),2055,3481933537.8,1186,65,3,19,34.8,56.5,70.5,61.6,0,0.92,32.0,0.82,17.9,11.3,0,0.46,0.34,181,79.0,69045197.79,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),AWS Multi-Account,SentinelOne,North America,Moderate (Internal Confidential),242,733480667.92,442,76,6,13,55.3,88.6,69.9,84.1,1,0.89,23.3,0.8,15.3,65.6,1,0.46,0.76,85,77.5,22183063.91,0,0,0,1,0.0,0.0,0.0,3122385.73
Banking & Financial Services,Mid-Market (250-1000),GCP Native,None,North America,High (PII + Financial KYC),215,486249409.16,353,37,1,15,7.3,78.7,81.2,69.5,1,0.41,19.1,0.57,9.9,83.9,0,0.33,0.43,234,56.0,10158775.96,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Small (50-250),Azure Hybrid,Microsoft Defender for Endpoint,North America,Critical (Cardholder / UPI Core),525,987362409.39,707,240,5,16,25.4,83.4,90.3,81.3,0,0.42,19.5,0.95,14.6,10.5,0,0.25,0.3,110,50.5,35246094.89,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),8033,19813351816.18,1176,264,4,16,61.6,92.1,45.4,81.0,1,0.26,23.5,0.78,17.6,51.0,1,0.26,0.72,30,98.0,488735303.95,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),GCP Native,SentinelOne,APAC,High (PII + Financial KYC),8010,26845017421.48,283,87,2,13,31.4,65.1,46.1,85.9,0,0.48,9.7,0.79,11.9,152.8,0,0.73,0.34,217,98.2,1040550960.3,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),On-Premises Legacy,Legacy Antivirus,India (BFSI Regulated),Moderate (Internal Confidential),2062,3799676346.42,166,18,11,11,15.9,51.1,59.7,66.8,0,0.78,4.1,0.73,9.6,37.4,0,0.71,0.59,87,77.0,84592647.8,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,None,European Union (GDPR),Moderate (Internal Confidential),588,1880069806.71,1479,433,5,18,72.2,95.2,84.9,85.3,0,0.39,16.1,0.77,36.5,47.1,0,0.16,0.86,175,71.6,79357352.62,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,India (BFSI Regulated),High (PII + Financial KYC),153,357470712.13,31,5,5,13,44.0,98.8,55.5,90.9,0,0.82,32.1,0.98,4.6,21.5,0,0.3,0.54,121,97.0,11589350.88,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),Azure Hybrid,SentinelOne,India (BFSI Regulated),Critical (Cardholder / UPI Core),8004,14195926107.1,74,7,5,10,33.5,52.9,67.0,66.9,0,0.63,19.3,0.86,12.4,65.4,0,0.17,0.73,134,73.1,454658144.05,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Low (Public Data),2014,6438283920.47,249,69,0,13,20.0,83.7,72.4,91.2,0,0.47,31.2,0.65,25.0,37.6,1,0.25,0.88,245,73.1,288303277.25,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),186,639698766.92,1165,324,4,22,24.8,44.3,65.1,64.8,0,0.51,7.0,0.51,25.5,31.3,0,0.2,0.78,164,56.0,13531979.73,0,0,0,1,0.0,0.0,0.0,2323634.34
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),201,418590827.77,880,306,5,13,9.2,41.6,70.1,70.4,1,0.78,11.8,0.84,28.9,33.1,0,0.68,0.64,235,67.9,9285156.39,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),198,417200339.1,1276,362,4,9,76.3,79.8,88.1,74.3,0,0.44,23.5,0.91,24.0,18.6,1,0.4,0.55,88,81.7,16869346.75,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),AWS Multi-Account,Legacy Antivirus,APAC,High (PII + Financial KYC),2065,4710454909.95,181,16,2,11,51.9,55.1,57.4,72.3,1,0.74,3.8,0.7,14.2,23.6,2,0.64,0.89,61,85.8,166170876.56,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,APAC,Low (Public Data),2007,6278419282.95,822,120,5,19,39.1,91.2,62.6,89.0,0,0.51,7.8,0.94,6.4,57.4,2,0.53,0.46,118,98.8,217926650.59,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),205,311771050.66,198,36,4,16,40.2,70.3,73.4,70.6,0,0.81,6.5,0.72,17.7,23.7,1,0.32,0.67,27,88.7,12671954.23,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),GCP Native,Microsoft Defender for Endpoint,European Union (GDPR),Critical (Cardholder / UPI Core),2012,3919201164.19,1405,123,4,10,41.3,86.1,91.7,89.7,0,0.36,19.5,0.53,17.4,39.9,1,0.5,0.85,249,83.4,168688668.59,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),182,529947531.24,1251,358,6,17,59.1,46.1,56.1,62.3,1,0.43,31.2,0.65,23.1,18.3,2,0.31,0.45,182,58.9,17298196.79,0,0,1,0,0.0,0.0,8409723.29,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,CrowdStrike Falcon,European Union (GDPR),Critical (Cardholder / UPI Core),145,335135440.64,924,192,1,15,19.1,91.6,73.3,72.6,0,0.57,3.1,0.64,10.0,15.2,0,0.39,0.59,153,67.6,7549754.2,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,India (BFSI Regulated),High (PII + Financial KYC),155,334891643.12,571,190,2,13,22.6,51.2,92.3,96.1,0,0.76,4.8,0.5,14.1,25.6,2,0.77,0.82,22,85.6,7717865.69,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Small (50-250),GCP Native,CrowdStrike Falcon,APAC,Low (Public Data),1991,6459930463.61,745,168,4,19,25.7,73.5,51.1,75.2,1,0.32,24.2,0.8,11.8,53.8,1,0.72,0.61,60,73.3,266703088.59,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,SentinelOne,APAC,Moderate (Internal Confidential),566,1887421997.61,1475,305,3,11,27.6,76.0,84.0,78.6,0,0.88,14.8,0.89,7.4,7.3,0,0.46,0.63,176,87.4,36661742.57,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),On-Premises Legacy,None,North America,High (PII + Financial KYC),592,2010415683.49,1499,107,6,16,51.6,43.9,57.1,89.7,0,0.21,31.6,0.52,26.5,37.4,0,0.27,0.61,188,82.4,55369686.8,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),AWS Multi-Account,CrowdStrike Falcon,APAC,Critical (Cardholder / UPI Core),2069,4231314104.12,1197,113,0,10,17.5,97.7,54.4,62.1,1,0.22,20.2,0.85,20.3,38.7,1,0.26,0.6,9,72.9,83833290.27,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),Azure Hybrid,CrowdStrike Falcon,APAC,High (PII + Financial KYC),8084,26879503871.03,1381,421,2,11,22.9,57.8,57.8,87.7,0,0.54,4.9,0.48,44.1,27.2,1,0.61,0.92,10,66.4,955055110.32,0,0,0,1,0.0,0.0,0.0,218135612.29
Healthcare,Large Enterprise (5000+),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),2056,6114402361.04,312,108,5,7,22.3,82.1,72.2,62.5,0,0.82,3.2,0.59,96.8,99.2,3,0.5,0.81,115,57.9,213768298.52,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),8066,14586792322.62,455,79,4,10,28.6,77.3,77.6,81.8,1,0.3,17.1,0.83,13.2,210.4,2,0.52,0.72,97,71.6,612074110.75,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),160,435286409.06,415,121,3,11,9.0,42.0,55.5,84.2,0,0.56,15.7,0.63,28.8,83.0,0,0.2,0.69,174,83.0,11631046.3,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Small (50-250),On-Premises Legacy,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),8079,12544018010.36,185,44,4,9,18.5,90.9,51.0,65.7,1,0.52,18.4,0.4,21.1,46.6,0,0.42,0.32,19,53.6,274653585.87,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),AWS Multi-Account,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),156,455013984.6,1013,342,3,14,7.5,58.0,69.4,93.6,0,0.76,16.7,0.87,13.3,34.0,0,0.41,0.8,9,65.5,11795033.98,0,0,0,1,0.0,0.0,0.0,2432860.44
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,None,North America,Moderate (Internal Confidential),515,1528074548.33,1495,181,3,12,18.5,54.7,48.1,82.5,0,0.36,22.3,0.53,16.0,148.2,1,0.34,0.63,167,56.6,54884944.71,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Enterprise (1000-5000),On-Premises Legacy,Microsoft Defender for Endpoint,APAC,High (PII + Financial KYC),188,578791279.23,803,171,5,11,27.9,43.5,74.1,66.1,1,0.65,31.8,0.9,11.6,31.1,2,0.68,0.95,249,64.3,10354123.27,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,European Union (GDPR),Moderate (Internal Confidential),8090,14926455375.7,976,168,0,15,11.0,54.8,81.9,94.0,0,0.89,27.2,0.55,13.4,24.4,0,0.24,0.64,30,89.5,261304488.04,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),AWS Multi-Account,None,European Union (GDPR),Critical (Cardholder / UPI Core),585,1612552430.91,420,89,5,10,11.9,76.6,96.1,92.6,1,0.24,19.9,0.55,13.6,38.1,1,0.7,0.74,175,69.4,70006409.74,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Multi-Cloud Enterprise,SentinelOne,European Union (GDPR),Moderate (Internal Confidential),566,1051465767.22,134,17,3,14,11.7,51.9,52.7,86.5,1,0.86,19.9,0.91,19.7,67.8,1,0.21,0.84,178,92.7,18487211.3,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,SentinelOne,APAC,Low (Public Data),2081,7061457647.07,370,73,2,11,33.8,67.5,68.4,76.0,1,0.36,34.5,0.6,7.6,20.0,2,0.26,0.42,193,85.9,309903208.63,0,0,0,1,0.0,0.0,0.0,39441209.6
Critical Infrastructure,Small (50-250),GCP Native,Microsoft Defender for Endpoint,North America,Low (Public Data),7982,22748870697.96,1303,309,1,15,23.2,87.2,58.9,79.5,0,0.26,33.1,0.79,12.1,28.9,1,0.52,0.66,15,68.0,836050388.67,0,0,0,1,0.0,0.0,0.0,135457222.68
SaaS & Cloud Provider,Enterprise (1000-5000),Azure Hybrid,None,APAC,Low (Public Data),8073,13648631141.87,837,62,6,14,4.3,96.4,56.8,87.8,0,0.44,8.0,0.61,5.3,71.6,0,0.55,0.94,34,57.9,402400675.39,0,0,0,1,0.0,0.0,0.0,65224296.8
Critical Infrastructure,Small (50-250),GCP Native,SentinelOne,European Union (GDPR),Low (Public Data),2011,3768743629.08,895,244,3,10,67.5,81.3,73.1,71.9,0,0.58,23.4,0.71,17.5,130.6,2,0.83,0.46,149,50.1,63599577.99,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),GCP Native,Legacy Antivirus,European Union (GDPR),Moderate (Internal Confidential),1994,5636878871.34,1269,332,2,6,33.8,51.5,52.7,83.5,0,0.47,13.0,0.85,15.7,22.9,0,0.57,0.93,223,70.8,157091179.0,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),On-Premises Legacy,SentinelOne,European Union (GDPR),Low (Public Data),581,1425391116.54,633,198,2,12,72.5,62.6,45.8,84.6,1,0.3,9.4,0.93,59.0,21.7,0,0.54,0.85,104,74.7,59738488.52,0,1,0,0,0.0,10637387.68,0.0,0.0
Critical Infrastructure,Enterprise (1000-5000),GCP Native,SentinelOne,APAC,Low (Public Data),2054,6105710812.79,150,26,1,8,43.3,72.7,53.8,68.8,0,0.56,33.2,0.78,27.5,33.3,3,0.28,0.82,195,72.0,207890480.19,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,India (BFSI Regulated),Moderate (Internal Confidential),545,1123559790.83,283,19,3,8,42.6,91.4,63.1,65.1,0,0.2,5.8,0.62,16.4,5.3,0,0.21,0.4,51,68.0,28032696.47,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),8069,22720973209.64,853,160,3,11,16.7,72.3,45.6,66.5,1,0.21,3.9,0.63,7.3,14.0,1,0.7,0.39,51,85.6,672615762.73,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),Multi-Cloud Enterprise,SentinelOne,North America,High (PII + Financial KYC),2042,3785705326.24,200,18,4,13,54.1,69.0,91.3,60.8,0,0.82,18.1,0.49,4.8,34.6,2,0.69,0.84,76,54.6,125869740.09,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),AWS Multi-Account,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),8077,20898595594.33,368,89,4,9,50.1,55.3,76.5,89.7,0,0.63,20.2,0.73,4.1,73.9,2,0.45,0.71,51,55.3,464016118.18,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Large Enterprise (5000+),On-Premises Legacy,Microsoft Defender for Endpoint,APAC,Critical (Cardholder / UPI Core),480,1639487607.89,490,31,2,13,4.1,69.5,46.5,92.0,1,0.47,6.4,0.89,36.7,29.1,2,0.2,0.65,87,76.8,61495368.91,0,0,0,1,0.0,0.0,0.0,9792136.02
Banking & Financial Services,Large Enterprise (5000+),Multi-Cloud Enterprise,CrowdStrike Falcon,North America,Moderate (Internal Confidential),204,562314670.77,180,29,0,16,6.8,58.8,57.3,91.6,0,0.5,33.3,0.48,19.0,14.2,0,0.49,0.91,136,51.5,19580628.82,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),GCP Native,SentinelOne,APAC,High (PII + Financial KYC),134,214398289.49,133,9,5,8,58.2,73.3,80.9,96.7,1,0.54,5.9,0.55,45.3,76.6,1,0.43,0.4,138,69.5,7421494.51,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),On-Premises Legacy,CrowdStrike Falcon,India (BFSI Regulated),Critical (Cardholder / UPI Core),8069,28060143378.79,37,1,4,12,10.2,87.7,46.6,63.3,0,0.38,26.1,0.41,55.5,13.9,1,0.66,0.91,73,59.6,1065477852.28,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),On-Premises Legacy,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),485,879660339.76,1147,387,1,15,20.0,95.8,65.4,96.8,1,0.75,14.7,0.71,16.4,6.1,0,0.55,0.66,74,60.4,32619249.19,0,0,0,1,0.0,0.0,0.0,3294931.57
E-Commerce & Retail,Small (50-250),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,APAC,Low (Public Data),578,1697087882.72,1229,428,3,12,33.8,87.8,50.2,79.8,0,0.43,11.4,0.43,32.2,18.2,0,0.25,0.39,218,73.7,52142772.55,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),Multi-Cloud Enterprise,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),245,628439719.14,1385,300,5,13,7.1,88.9,66.1,75.5,1,0.63,9.8,0.74,42.5,32.2,1,0.27,0.58,209,76.3,25674810.43,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,North America,Low (Public Data),484,1010941145.79,162,19,2,11,19.3,61.1,97.3,65.6,0,0.3,8.6,0.56,11.3,36.3,0,0.25,0.79,51,70.3,30124159.73,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Large Enterprise (5000+),Azure Hybrid,CrowdStrike Falcon,European Union (GDPR),Moderate (Internal Confidential),595,1103499477.66,674,217,5,11,82.3,81.0,69.6,79.1,1,0.22,19.9,0.87,25.4,23.6,1,0.38,0.36,174,56.6,27596743.75,0,0,0,0,0.0,0.0,0.0,0.0
Critical Infrastructure,Small (50-250),On-Premises Legacy,CrowdStrike Falcon,APAC,High (PII + Financial KYC),8052,14939718874.31,983,321,4,18,8.9,62.9,78.1,86.9,0,0.31,4.4,0.71,87.6,47.7,0,0.35,0.9,166,73.1,352120690.26,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),Azure Hybrid,Microsoft Defender for Endpoint,APAC,Critical (Cardholder / UPI Core),157,505037499.9,472,144,9,11,74.2,41.4,67.1,63.5,0,0.46,27.7,0.68,3.1,15.0,1,0.33,0.45,209,89.2,9424554.4,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Enterprise (1000-5000),GCP Native,CrowdStrike Falcon,European Union (GDPR),High (PII + Financial KYC),562,1824153665.92,470,100,7,18,36.1,92.2,62.0,98.6,0,0.3,10.5,0.53,6.5,37.8,0,0.46,0.3,117,83.2,67859461.19,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),AWS Multi-Account,None,North America,High (PII + Financial KYC),8048,19558982316.07,81,5,3,12,15.6,43.1,78.0,96.2,1,0.69,16.9,0.94,16.3,13.0,1,0.73,0.75,46,75.4,312731051.6,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),On-Premises Legacy,CrowdStrike Falcon,North America,Critical (Cardholder / UPI Core),2066,3527163884.81,615,47,4,8,62.3,46.8,78.5,95.0,0,0.32,5.6,0.95,15.0,16.7,1,0.37,0.59,68,57.0,138311764.64,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Large Enterprise (5000+),AWS Multi-Account,SentinelOne,North America,High (PII + Financial KYC),237,774594259.22,959,305,3,13,44.0,41.1,78.2,76.2,1,0.81,18.0,0.84,1.4,19.7,1,0.36,0.48,180,79.8,31429393.94,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Mid-Market (250-1000),Azure Hybrid,Microsoft Defender for Endpoint,North America,High (PII + Financial KYC),8023,19849166537.17,1319,412,3,6,15.8,44.0,46.4,93.8,1,0.8,23.1,0.58,12.3,24.6,0,0.48,0.66,50,74.7,670518580.28,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Enterprise (1000-5000),Multi-Cloud Enterprise,Microsoft Defender for Endpoint,North America,Moderate (Internal Confidential),1995,4743162067.24,1338,241,1,9,29.6,43.5,82.6,65.0,0,0.41,4.6,0.86,7.4,10.5,0,0.37,0.46,152,90.4,106907502.23,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),On-Premises Legacy,Microsoft Defender for Endpoint,India (BFSI Regulated),Critical (Cardholder / UPI Core),550,1273092726.88,1172,173,1,16,24.5,80.0,81.5,96.0,0,0.55,30.8,0.82,43.5,93.1,1,0.58,0.3,39,57.5,26768210.49,0,0,0,0,0.0,0.0,0.0,0.0
Healthcare,Mid-Market (250-1000),Azure Hybrid,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),557,1242125789.68,383,93,2,14,82.6,90.4,48.8,93.8,1,0.71,12.6,0.52,38.1,37.7,1,0.2,0.6,113,69.0,21364074.49,0,0,0,0,0.0,0.0,0.0,0.0
Banking & Financial Services,Mid-Market (250-1000),GCP Native,SentinelOne,APAC,High (PII + Financial KYC),2001,5106573625.24,1110,324,2,13,45.7,87.0,55.3,83.2,1,0.52,13.9,0.45,22.2,16.5,1,0.31,0.61,197,54.9,214653626.8,0,0,0,0,0.0,0.0,0.0,0.0
SaaS & Cloud Provider,Small (50-250),On-Premises Legacy,SentinelOne,India (BFSI Regulated),Moderate (Internal Confidential),8052,21813531913.35,66,17,3,11,5.7,77.0,73.1,86.2,1,0.26,8.3,0.51,51.9,57.5,2,0.68,0.44,94,75.7,653381906.7,0,0,0,0,0.0,0.0,0.0,0.0
E-Commerce & Retail,Small (50-250),On-Premises Legacy,CrowdStrike Falcon,North America,Low (Public Data),590,1435390000.22,988,231,4,8,22.3,86.4,64.5,73.9,0,0.41,31.3,0.9,43.3,22.8,0,0.76,0.56,42,94.3,37954629.69,0,0,0,0,0.0,0.0,0.0,0.0
